seed,neuron,a,b,activation
0,99,3,19,0.572775
0,99,3,20,0.593417
0,99,3,21,0.821593
0,99,3,22,1.04742
0,99,3,23,0.713001
0,99,3,24,1.11619
0,99,3,25,0.713352
0,99,3,26,1.12541
0,99,3,27,0.598058
0,99,3,28,0.861438
0,99,3,29,0.825386
0,99,3,30,1.01676
0,99,3,31,1.26734
0,99,3,32,0.849749
0,99,3,33,1.09629
0,99,3,34,0.660495
0,99,3,35,1.06829
0,99,3,36,0.570244
0,99,3,37,0.739471
0,99,3,38,0.598084
0,99,3,39,0.695947
0,99,3,40,0.930883
0,99,3,41,0.526915
0,99,3,42,0.810489
0,99,3,43,0.341927
0,99,3,44,0.893698
0,99,3,45,0.601305
0,99,3,46,0.90674
0,99,3,47,0.824519
0,99,3,48,0.933101
0,99,3,49,1.2965
0,99,3,50,0.839206
0,99,3,51,1.09488
0,99,3,52,0.508222
0,99,3,53,1.03155
0,99,3,54,0.752435
0,99,3,55,1.04566
0,99,3,56,0.947261
0,99,3,57,0.841613
0,99,3,58,1.25253
0,99,3,59,0.676808
0,99,3,60,0.935383
0,99,3,61,0.220818
0,99,3,62,0.665851
0,99,3,63,0.466579
0,99,3,64,0.716326
0,99,3,65,0.762288
0,99,3,66,0.560085
0,99,3,67,1.12184
0,99,3,68,0.699755
0,99,3,69,1.13478
0,99,3,70,0.501365
0,99,3,71,0.901951
0,99,3,72,0.833985
0,99,3,73,1.00951
0,99,3,74,1.12288
0,99,3,75,0.774642
0,99,3,76,1.19143
0,99,3,77,0.773264
0,99,3,78,1.17317
0,99,3,79,0.575347
0,99,3,80,0.824986
0,99,3,81,0.751361
0,99,3,82,0.865469
0,99,3,83,0.981532
0,99,3,84,0.54218
0,99,3,85,0.815939
0,99,3,86,0.36584
0,99,3,87,0.801821
0,99,3,88,0.383248
0,99,3,89,0.691901
0,99,3,90,0.712425
0,99,3,91,0.955434
0,99,3,92,1.23618
0,99,3,93,0.835438
0,99,3,94,1.07683
0,99,3,95,0.620802
0,99,3,96,1.07126
0,99,3,97,0.68133
0,99,3,98,0.942481
0,99,3,99,0.841775
0,99,3,100,0.996104
0,99,3,101,1.3159
0,99,3,102,0.852079
0,99,3,103,1.03879
0,99,3,104,0.411077
0,99,3,105,0.880592
0,99,3,106,0.466491
0,99,3,107,0.665337
0,99,3,108,0.598051
0,99,3,109,0.586048
0,99,3,110,1.00631
0,99,3,111,0.614877
0,99,3,112,0.964537
0,99,4,0,1.00141
0,99,4,1,0.685065
0,99,4,2,0.87646
0,99,4,3,0.990055
0,99,4,4,1.04285
0,99,4,5,1.34803
0,99,4,6,0.892061
0,99,4,7,1.16818
0,99,4,8,0.739849
0,99,4,9,1.1124
0,99,4,10,0.832943
0,99,4,11,0.934331
0,99,4,12,0.936858
0,99,4,13,0.863401
0,99,4,14,1.15746
0,99,4,15,0.655313
0,99,4,16,0.797239
0,99,4,17,0.287529
0,99,4,18,0.70045
0,99,4,19,0.51125
0,99,4,20,0.678411
0,99,4,21,0.75419
0,99,4,22,0.775142
0,99,4,23,1.23636
0,99,4,24,0.854463
0,99,4,25,1.14622
0,99,4,26,0.621768
0,99,4,27,1.02326
0,99,4,28,0.906971
0,99,4,29,1.04062
0,99,4,30,1.11112
0,99,4,31,0.943027
0,99,4,32,1.35572
0,99,4,33,0.882284
0,99,4,34,1.14573
0,99,4,35,0.536694
0,99,4,36,0.813757
0,99,4,37,0.719521
0,99,4,38,0.75717
0,99,4,39,0.822006
0,99,4,40,0.470483
0,99,4,41,0.899285
0,99,4,42,0.509879
0,99,4,43,0.898795
0,99,4,44,0.420997
0,99,4,45,0.772552
0,99,4,46,0.888832
0,99,4,47,1.00551
0,99,4,48,1.25092
0,99,4,49,0.879057
0,99,4,50,1.24677
0,99,4,51,0.803685
0,99,4,52,1.15866
0,99,4,53,0.734212
0,99,4,54,0.91691
0,99,4,55,1.00762
0,99,4,56,1.0238
0,99,4,57,1.2806
0,99,4,58,0.789271
0,99,4,59,0.998074
0,99,4,60,0.486805
0,99,4,61,0.81131
0,99,4,62,0.430249
0,99,4,63,0.52108
0,99,4,64,0.599995
0,99,4,65,0.686327
0,99,4,66,1.06332
0,99,4,67,0.731942
0,99,4,68,1.03665
0,99,4,69,0.63347
0,99,4,70,1.06788
0,99,4,71,0.840353
0,99,4,72,0.972569
0,99,4,73,1.0122
0,99,4,74,0.983522
0,99,4,75,1.35545
0,99,4,76,0.940845
0,99,4,77,1.17673
0,99,4,78,0.655641
0,99,4,79,1.01795
0,99,4,80,0.8061
0,99,4,81,0.867171
0,99,4,82,0.833463
0,99,4,83,0.633376
0,99,4,84,1.01235
0,99,4,85,0.540557
0,99,4,86,0.78809
0,99,4,87,0.246858
0,99,4,88,0.676388
0,99,4,89,0.686395
0,99,4,90,0.885445
0,99,4,91,1.03758
0,99,4,92,0.852454
0,99,4,93,1.3093
0,99,4,94,0.859268
0,99,4,95,1.17232
0,99,4,96,0.623493
0,99,4,97,0.951149
0,99,4,98,0.974812
0,99,4,99,1.06736
0,99,4,100,1.24316
0,99,4,101,0.874655
0,99,4,102,1.24128
0,99,4,103,0.732527
0,99,4,104,1.01318
0,99,4,105,0.45849
0,99,4,106,0.580161
0,99,4,107,0.58759
0,99,4,108,0.667273
0,99,4,109,0.901024
0,99,4,110,0.523159
0,99,4,111,0.939881
0,99,4,112,0.576089
0,99,5,0,0.852935
0,99,5,1,0.872002
0,99,5,2,0.859201
0,99,5,3,0.812824
0,99,5,4,1.35009
0,99,5,5,1.14155
0,99,5,6,1.26519
0,99,5,7,0.774942
0,99,5,8,1.04994
0,99,5,9,0.969216
0,99,5,10,1.02745
0,99,5,11,0.961228
0,99,5,12,0.689174
0,99,5,13,1.10699
0,99,5,14,0.89289
0,99,5,15,1.05378
0,99,5,16,0.355162
0,99,5,17,0.557902
0,99,5,18,0.495102
0,99,5,19,0.715676
0,99,5,20,0.754457
0,99,5,21,0.497391
0,99,5,22,1.03311
0,99,5,23,0.913494
0,99,5,24,1.32136
0,99,5,25,0.780601
0,99,5,26,0.879812
0,99,5,27,0.857999
0,99,5,28,1.05278
0,99,5,29,1.27364
0,99,5,30,0.841114
0,99,5,31,1.24738
0,99,5,32,0.988571
0,99,5,33,1.3561
0,99,5,34,0.832421
0,99,5,35,0.757958
0,99,5,36,0.634255
0,99,5,37,0.708739
0,99,5,38,1.02588
