seed,neuron,frequency,single_fve,sum_fve,phase,amplitude
0,247,50,0.0001168561186,5.317273493e-05,2.215292265,0.8545434474
0,248,5,0.5901330958,0.3465530203,-2.975672096,16.75289209
0,248,17,0.0002842815563,4.514681477e-08,2.619920544,0.006046701147
0,248,24,0.1139029737,0.02328370319,-2.76572078,4.342411481
0,248,34,3.854511569e-05,2.219301302e-07,0.6163492034,0.01340642803
0,248,50,0.07652664419,0.06371513829,1.942951974,7.18333734
0,249,5,0.01470927286,0.01135724987,2.917908067,3.919675578
0,249,17,0.0005539427258,1.209693364e-07,2.467407265,0.012792375
0,249,24,0.04123294295,0.02048760492,0.1473028014,5.26452422
0,249,34,0.0001872517532,1.181327015e-08,1.38166601,0.003997593226
0,249,50,0.6748654762,0.5494663458,-0.341938996,27.26365525
0,250,5,4.459423052e-05,1.274662613e-05,1.162597291,0.3335123602
0,250,17,0.9725439541,0.0793315607,-2.558661254,26.31099725
0,250,24,0.0002928113616,7.642033509e-05,0.7465713431,0.8166176811
0,250,34,0.002643127861,0.001303007046,-1.993559396,3.37200098
0,250,50,0.0005532976778,3.172444296e-05,2.488731577,0.5261521055
0,251,5,0.01482704324,0.006816871339,0.455212045,5.830456727
0,251,17,0.001396796839,2.594312138e-07,2.798239194,0.03596840184
0,251,24,0.941825314,0.3468005255,0.1144272038,41.58626352
0,251,34,6.963868098e-05,3.086437895e-08,1.403057471,0.0124062006
0,251,50,0.002972585599,0.0005932143922,2.283832226,1.71995018
0,252,5,9.622578753e-05,9.883507551e-06,-2.143666436,0.2796846227
0,252,17,0.002058155539,3.340104236e-05,1.960734535,0.5141538001
0,252,24,0.9797821161,0.1169241885,1.747655463,30.42042114
0,252,34,1.040206402e-05,1.82312734e-06,2.34930792,0.1201217199
0,252,50,0.0001051943894,3.259299745e-05,0.0446555929,0.5078964663
0,253,5,0.0002119853188,6.007181263e-06,-2.370903822,0.2989462047
0,253,17,0.9733829221,0.08436165358,-0.2781071166,35.42666069
0,253,24,0.0001872500394,2.688464513e-05,0.4775332082,0.6324261657
0,253,34,0.005110783472,0.002058496808,2.590264701,5.533918704
0,253,50,0.0001167418398,1.426744057e-05,-2.297809178,0.4607132599
0,254,5,0.0001921317111,4.253334421e-05,-2.638089052,0.6685708577
