seed,neuron,dead,frequency,single_fve,sum_fve,sum_fve_at_frequency,phase_at_frequency
0,336,0,5,0.9669419565,0.1681115437,0.1677814834,1.191802896
0,337,0,24,0.95024966,0.1711749541,0.1709212428,-1.815654093
0,338,0,24,0.9493730933,0.1364474495,0.1360269931,1.689237286
0,339,0,24,0.9795686431,0.1116902156,0.1116301397,-1.219100803
0,340,0,50,0.40603994,0.3938049094,0.2080602504,1.067951029
0,341,0,50,0.96434078,0.1897674702,0.1895143774,-3.061695159
0,342,0,24,0.9495040897,0.1974975223,0.1971394551,-2.296036992
0,343,0,50,0.9692431212,0.179598682,0.1784413811,2.788817134
0,344,0,17,0.9723690497,0.0864610352,0.08434029121,2.301280937
0,345,0,50,0.9784814762,0.1161917651,0.1158533555,1.455894892
0,346,0,24,0.9676424078,0.1636290573,0.1633755633,2.508565572
0,347,0,50,0.9646688866,0.1792223435,0.1788341858,-1.753047268
0,348,0,50,0.7096217678,0.4634475866,0.4429730752,1.416426636
0,349,0,50,0.9640336174,0.183313779,0.1829944658,-2.685978025
0,350,0,5,0.9674571085,0.1721894215,0.1718420465,0.307543832
0,351,0,17,0.9723323751,0.08640679416,0.08432321074,1.350442852
0,352,0,17,0.9724455081,0.08064695378,0.07920088659,-2.764119134
0,353,0,24,0.9461618544,0.3557110746,0.3487876397,0.1637386592
0,354,0,24,0.8882358109,0.3748033432,0.332682018,0.250194042
0,355,0,50,0.6781775464,0.4558657296,0.419295574,1.407142461
0,356,0,5,0.9571315997,0.1847996878,0.1841935555,0.4284414744
0,357,0,24,0.9467876915,0.2022914862,0.2020187616,2.554992852
0,358,0,5,0.9612654856,0.17927448,0.1787672355,0.8501859518
0,359,0,24,0.945765013,0.2173355185,0.2170577392,3.004521242
0,360,0,5,0.9709841017,0.1187837786,0.1186095786,3.021482261
0,361,0,17,0.9727955927,0.08593626991,0.08421021417,1.24999473
0,362,0,50,0.9790076152,0.1424954219,0.1424209813,-0.5269173906
0,363,0,50,0.5068984533,0.4774906435,0.3333756118,1.498618865
0,364,0,50,0.9625052741,0.1836586982,0.1834494365,-2.046629538
0,365,0,17,0.973710863,0.08895052768,0.08670234988,-2.419397216
0,366,0,50,0.9733158843,0.1727167343,0.1720446416,-1.10890817
0,367,0,5,0.9715650076,0.1166275848,0.1165098124,3.062189945
0,368,0,17,0.9742441324,0.0922745469,0.0896648608,3.138127764
0,369,0,5,0.9662351097,0.1779803864,0.1774444257,0.2991267959
0,370,0,17,0.9709022271,0.07845680818,0.07679672671,-0.838239276
0,371,0,17,0.9729820068,0.08371484405,0.08191302357,1.895985142
0,372,0,50,0.9668059709,0.1954019615,0.1942299794,2.782421522
0,373,0,17,0.9734010173,0.08404799598,0.0820137653,2.375437796
0,374,0,17,0.9724255037,0.08615046723,0.08404955409,2.282647262
0,375,0,5,0.9862970395,0.1117727427,0.1112735623,-2.944829556
0,376,0,24,0.9464576022,0.2140791617,0.2137043193,2.79614023
0,377,0,50,0.9763901372,0.1253932368,0.1250029114,-0.214207955
0,378,0,5,0.9699273227,0.1490802441,0.1490211659,-0.3637735391
0,379,0,5,0.4471727437,0.51762868,0.3523161573,-1.264446112
0,380,0,17,0.9733799832,0.08647431224,0.08436832914,-0.2781625619
0,381,0,50,0.9715132035,0.1027948575,0.1019574746,0.5244469577
0,382,0,24,0.9448014104,0.2182642463,0.2179805905,3.072779842
0,383,0,5,0.9650991736,0.1693031337,0.169054765,0.7595271979
0,384,0,24,0.4641442684,0.4376107079,0.197690152,0.09388876008
0,385,0,5,0.7183382147,0.3691439694,0.3360105107,-2.076210201
0,386,0,50,0.9739359071,0.1470859775,0.1468981254,-0.5811794278
0,387,0,5,0.979063229,0.1737645125,0.1736382295,2.186192665
0,388,0,17,0.9742028184,0.09060022341,0.0882124623,-2.784699778
0,389,0,24,0.8096279886,0.3794784535,0.320683317,0.1729389391
0,390,0,50,0.9721395115,0.1611669508,0.1611406919,-0.8721251737
0,391,0,50,0.9713038929,0.1666629924,0.1656036271,2.534098837
0,392,0,17,0.973023625,0.08197765544,0.08032948644,0.2236159993
0,393,0,17,0.9737290822,0.08727245962,0.08521632681,-1.506551076
0,394,0,50,0.962303857,0.191343132,0.1909030743,-2.042470654
0,395,0,17,0.9721318557,0.07902168366,0.07738784543,-0.2330828178
0,396,0,24,0.9209976011,0.09566149716,0.09509837511,-0.6778629232
0,397,0,50,0.5239557436,0.4933931944,0.4020504956,-0.2692646624
0,398,0,50,0.9763928199,0.1254021836,0.1250119213,-0.214335866
0,399,0,24,0.9403196676,0.1763598831,0.1760135723,2.158101572
0,400,0,24,0.9808245228,0.1280107888,0.1278650505,-1.576700923
0,401,0,50,0.9739581219,0.1413273934,0.1409841921,-0.4662890079
0,402,0,24,0.9467475492,0.2087493577,0.208351101,2.698322686
0,403,0,17,0.9739188281,0.08912545578,0.08684289758,-2.507889988
0,404,0,50,0.9740660241,0.1560829396,0.1560434822,2.198481797
0,405,0,24,0.9506432972,0.1939168121,0.1936050469,-2.237692982
0,406,0,24,0.9232069339,0.09936069502,0.09877415763,-0.8228825447
0,407,0,17,0.9715977203,0.08562381404,0.08352470298,0.4536262622
0,408,0,24,0.8100128867,0.4135580239,0.3127482478,0.2343579479
0,409,0,24,0.8708304464,0.3950822566,0.3372199679,0.1310360817
0,410,0,17,0.9729098483,0.08359699468,0.08189267857,1.710567094
0,411,0,5,0.9637317746,0.2007949387,0.1998397758,1.749356084
0,412,0,50,0.628636139,0.499127119,0.4396194111,-0.1321847866
0,413,0,17,0.9731376033,0.08742544071,0.08532489273,1.563856337
0,414,0,24,0.9471770743,0.1451430223,0.1446997694,1.80024942
0,415,0,17,0.9717738228,0.07909949518,0.07782103203,-2.491596336
0,416,0,50,0.5860155542,0.4837593504,0.3508346728,1.360971138
0,417,0,50,0.43564136,0.4162633541,0.2446322283,1.223898855
0,418,0,50,0.6687466784,0.4103139237,0.3356299459,0.6447850213
0,419,0,17,0.9730283216,0.08634859689,0.08456846754,1.299477025
0,420,0,50,0.7021260429,0.5787818684,0.5665378992,-0.3289422388
0,421,0,24,0.9587054465,0.1863526106,0.1860539808,-2.430788079
0,422,0,5,0.9663551044,0.1657806868,0.1654743185,1.063662025
0,423,0,5,0.9612737235,0.1791516296,0.1786549883,0.8523018353
0,424,0,24,0.9807543256,0.1252781933,0.1251253498,-1.528551737
0,425,0,5,0.3563279857,0.4836143391,0.3019547374,2.796830548
0,426,0,17,0.9731498791,0.08283200659,0.08129460073,-2.102432675
0,427,0,24,0.9639996839,0.1684919209,0.1682449287,2.528299259
0,428,0,17,0.9728625783,0.08098804836,0.07938808564,0.1982755943
0,429,0,24,0.9486205086,0.3571793246,0.3555822998,0.2759095181
0,430,0,50,0.9783809097,0.1350229232,0.1348693881,1.891710077
0,431,0,50,0.5961708121,0.4065172819,0.3158316643,1.133653956
0,432,0,17,0.9732777358,0.08709076066,0.08499508671,-1.22114944
0,433,0,50,0.9770340144,0.158231208,0.1580574043,2.282683078
0,434,0,24,0.9414318099,0.1659821029,0.1656198255,2.018040004
0,435,0,24,0.9801438738,0.1206571015,0.1205600751,1.837852979
0,436,0,50,0.9759029269,0.1306160674,0.130182169,-0.2999764733
0,437,0,17,0.9726538834,0.08622796186,0.0841685606,-0.08082063892
0,438,0,50,0.9745942618,0.1589640015,0.1589562994,2.263608809
0,439,0,24,0.73489805,0.3851129495,0.2957960335,0.129810384
0,440,0,50,0.9706813499,0.1669245948,0.1658562205,2.511810558
0,441,0,50,0.9675985338,0.1676719852,0.167288471,3.0634445
0,442,0,50,0.4909536658,0.5121813618,0.3668016377,-0.2175679497
0,443,0,5,0.37295288,0.4026763685,0.1853861171,-1.964463237
0,444,0,24,0.8464612947,0.3942491622,0.3298683114,0.1905393588
0,445,0,17,0.9722492117,0.0855673489,0.08336495023,1.100309615
0,446,0,50,0.9748104037,0.1641311476,0.1641200504,2.283561955
0,447,0,24,0.6450773546,0.4250424955,0.2632253063,0.004634743759
0,448,0,5,0.9862970499,0.1117751471,0.1112760402,-2.944586934
0,449,0,17,0.9721654321,0.08669390948,0.08455434511,0.3148476039
0,450,0,5,0.9649293397,0.1658109899,0.1653389024,2.028505585
0,451,0,24,0.9528764065,0.1977639771,0.1973413602,-2.767067496
0,452,0,50,0.7308454781,0.4444008439,0.4190016611,0.2013003423
0,453,0,50,0.9659568599,0.1757670822,0.1755773219,-2.857566993
0,454,0,5,0.9846956381,0.1236138283,0.1232766259,-1.420323658
0,455,0,50,0.9641788322,0.1904104935,0.1901347062,-3.020167143
0,456,0,50,0.9743027403,0.1707442353,0.1706020282,2.419297612
0,457,0,17,0.9716269813,0.08427329333,0.08230944529,2.723855474
0,458,0,24,0.7744105452,0.4255420345,0.301735892,0.2150562208
0,459,0,24,0.774543191,0.4234456282,0.310291533,0.0336646507
0,460,0,5,0.9656917616,0.1651953284,0.1648636252,-0.1639729525
0,461,0,50,0.7237574559,0.3951192994,0.3618595121,0.6284758916
0,462,0,5,0.4294053697,0.4441045778,0.2947495831,3.093816051
0,463,0,50,0.9724462581,0.1006128307,0.09979177725,0.7583948133
0,464,0,17,0.9717802088,0.07907772149,0.077799485,-2.492494077
0,465,0,24,0.9445367685,0.1031630989,0.1027892209,1.10802111
0,466,0,24,0.9208945036,0.09650337891,0.09593365542,-0.7009491543
0,467,0,50,0.9618528176,0.2017970974,0.2007320893,-2.518394469
0,468,0,50,0.9728823116,0.1018275913,0.1010526083,1.126153251
0,469,0,50,0.972100392,0.1613414388,0.1613154057,-0.8761310557
0,470,0,24,0.9012885781,0.3558024432,0.3319725342,0.1825788017
0,471,0,17,0.9717543566,0.07909288576,0.07782038266,-2.484542359
0,472,0,17,0.9721738893,0.0817734025,0.08027707833,-2.898068618
0,473,0,50,0.9659762144,0.1757481868,0.1755590952,-2.859821948
0,474,0,24,0.963464598,0.1692949646,0.1690457295,2.533055553
0,475,0,17,0.9738668473,0.09051823471,0.08813665458,-2.600602386
0,476,0,50,0.978521563,0.1408822357,0.1407261243,1.987880437
0,477,0,24,0.9801374731,0.1205964808,0.1204995783,1.836911801
0,478,0,50,0.5147269774,0.5618990292,0.4634147447,1.969466724
0,479,0,50,0.9725137336,0.1016015496,0.1007869037,1.105151531
0,480,0,5,0.9693460048,0.1116582375,0.1115129033,-3.00339992
0,481,0,50,0.9715908863,0.166951449,0.1659357797,2.525463311
0,482,0,50,0.9641898497,0.1902504118,0.1899744878,-3.021822958
0,483,0,24,0.5174161521,0.4510619336,0.2171772898,0.1188460634
0,484,0,50,0.965861333,0.1938405537,0.1930040723,2.899248182
0,485,0,24,0.950330972,0.1944412302,0.1941216198,-2.216365401
0,486,0,50,0.9760774312,0.1278255476,0.1274071191,-0.2577970606
0,487,0,50,0.9776298116,0.1026046265,0.1023000971,0.4668820247
0,488,0,24,0.3081577084,0.3811303186,0.11353861,2.856133618
0,489,0,5,0.9586928607,0.1846192268,0.1839711439,0.5791450418
0,490,0,17,0.9730787858,0.08125159555,0.07961571259,0.1703409398
0,491,0,17,0.9726433518,0.0858155171,0.08358801549,-1.036476114
0,492,0,50,0.7070583774,0.3991766982,0.3642241963,0.4456905025
0,493,0,5,0.965570819,0.1541975902,0.1539600437,1.336436445
0,494,0,50,0.9656574633,0.1941708459,0.1932925954,-1.376449967
0,495,0,5,0.6823231777,0.4000339285,0.3661554101,-1.759363045
0,496,0,24,0.9796276279,0.1140291827,0.1139595037,1.655242652
0,497,0,50,0.7267622778,0.4258209639,0.3867212808,1.089638542
0,498,0,50,0.9741378236,0.1454060259,0.1452021791,-0.5616801381
0,499,0,17,0.9726184787,0.08718972743,0.08507833903,-1.033851707
0,500,0,24,0.9516330292,0.1614725732,0.1612193632,-1.72016257
0,501,0,17,0.9724695573,0.08546677978,0.08350053639,2.377643488
0,502,0,24,0.9469412647,0.3565609368,0.3503897934,0.112510477
0,503,0,24,0.8485245279,0.3869093808,0.3259314196,0.2754779863
0,504,0,5,0.6315448936,0.4168923832,0.3113749446,-2.675746173
0,505,0,50,0.9765600533,0.1665710327,0.1663758011,-0.9498508527
0,506,0,50,0.977033512,0.1582345463,0.1580607355,2.282724389
0,507,0,24,0.9598006868,0.1861079555,0.1858046633,-2.394460534
0,508,0,17,0.9725990889,0.08171070278,0.08017413624,-2.950469431
0,509,0,24,0.7613102437,0.3980620146,0.2906721763,0.2117441775
0,510,0,17,0.9722900629,0.08637622134,0.08410247346,1.120266415
0,511,0,24,0.9800132223,0.1295429883,0.1294081182,2.008068914
