seed,condition,variance_retained,train_loss,train_acc,test_loss,test_acc
7,ablate_head3,0.643345,2.3531940119922647,0.506266318537859,2.5114953020222894,0.49200134243203936
8,clean,1.0,9.076468325897389e-08,1.0,1.6911086935301378e-07,1.0
8,frozen_attention,0.451087,5.352200924481278,0.4900783289817232,5.726050056102661,0.4713055151582951
8,ablate_head0,0.760527,0.7175438877048169,0.8060052219321149,0.7457135295666865,0.797292762053921
8,ablate_head1,0.783187,1.3538644571869503,0.8631853785900784,1.3721236402050057,0.856583510459783
8,ablate_head2,0.486856,2.766859750299843,0.504177545691906,2.8516502444342584,0.488869001006824
8,ablate_head3,0.491183,2.718098836282971,0.5010443864229766,2.804608431573837,0.48640787560129767
9,clean,1.0,9.31090969008753e-08,1.0,1.8669172376445098e-07,1.0
9,frozen_attention,0.626868,5.691196403963568,0.5232375979112271,5.811179562182673,0.5166125964873028
9,ablate_head0,0.503414,3.176524174786259,0.47336814621409923,3.2752621240054243,0.4725360778610583
9,ablate_head1,0.478522,4.252431585938694,0.3527415143603133,4.33857822845335,0.3573106611477794
9,ablate_head2,0.935714,0.43990260570396506,0.8825065274151436,0.4395499988173477,0.8800760711488981
9,ablate_head3,0.76272,2.624155487689815,0.5906005221932115,2.764604790637613,0.5707573554088824
